source;translation;type;module;status;customer
"doesnt exist's";"bestaat niet";S;;T;N
"Internal error";"Interne fout";B;;T;N
"Error during database creation.";"Fout tijdens aanmaken database.";S;;T;N
"OK";"OK";B;;T;N
"Failed to read headers of CSF file %s";"Fout bij het lezen de headers in het CSF-bestand %s";S;;T;N
"Could not change permissions %s";"Kan rechten niet wijzigen van %s";S;;T;N
"Could not open file";"Kan bestand niet openen";S;;T;N
"Could not read file";"Kan bestand niet lezen";S;;T;N
"Rewind unsupported in this file stream";"Terugzetten niet ondersteund in dit bestand";S;;T;N
"File %s does not exist.";"Bestand %s bestaat niet.";S;;T;N
"Failed to read file %s";"Fout bij lezen bestand %s";S;;T;N
"Could not create directory %s";"Kan map niet aanmaken %s";S;;T;N
"Could not open language file %s";"Kan taalbestand niet openen %s";S;;T;N
"Level";"Niveau";S;;T;N
"Message";"Bericht";B;;T;N
"File";"Bestand";S;;T;N
"Line";"Lijn";B;;T;N
"Group ID";"Groep-ID";S;;T;N
"Log event";"Lokboek";S;;T;N
"Event(s) are deleted";"Logboek(en) zijn verwijderd";S;;T;N
"No event(s) to delete";"Geen logboek(en) om te verwijderen";S;;T;N
"Debug event(s) are deleted";"Debug logboek(en) zijn verwijderd";S;;T;N
"No debug event(s) to delete";"Geen debug logboek(en) om te verwijderen";S;;T;N
"Mail Account Name";"Mail account naam";S;;T;N
"From Name";"Afzender";B;;T;N
"From Email";"Emailadres afzender";S;;T;N
"Use SMTP protocol";"Gebruik SMTP-protocol";S;;T;N
"SMTP Server";"SMTP Server";B;;T;N
"SMTP Port";"SMTP-poort";B;;T;N
"SMTP Authentication";"SMTP identificatie";S;;T;N
"Use SSL connection";"Gebruikt SSL verbinding";S;;T;N
"SMTP Username";"SMTP-gebruikersnaam";S;;T;N
"Is default mail account";"Is standaard mail account";S;;T;N
"Yes";"Ja";B;;T;N
"No";"Nee";B;;T;N
"Email account test mail";"Email account test mail";B;;T;N
"Default Mail Account";"Standaard mail account";S;;T;N
"Email settings saved";"Email instellingen opgeslagen";S;;T;N
