source;translation;type;module;status;customer
"Level";"Nivå";S;;T;N
"Message";"Melding";B;;T;N
"File";"Fil";S;;T;N
"Line";"Linje";B;;T;N
"Group ID";"Gruppe ID";S;;T;N
"Log event";"Logg hendelse";S;;T;N
"Event(s) are deleted";"Hendelse(r) er slettet";S;;T;N
"No event(s) to delete";"Ingen hendelse(r) å slette";S;;T;N
"Debug event(s) are deleted";"Debug hendelse(r) er slettet";S;;T;N
"No debug event(s) to delete";"Ingen debug hendelse(r) å slette";S;;T;N
"Mail Account Name";"Navn på epostkonto";S;;T;N
"From Name";"Avsender";B;;T;N
"From Email";"Fra epost";S;;T;N
"Use SMTP protocol";"Bruk SMTP protokoll";S;;T;N
"SMTP Server";"SMTP server";B;;T;N
"SMTP Port";"SMTP port";B;;T;N
"SMTP Authentication";"SMTP Autentisiering";S;;T;N
"Use SSL connection";"Bruk SSL tilkobling";S;;T;N
"SMTP Username";"SMTP Brukernavn";S;;T;N
"Is default mail account";"Er standard epostkonto";S;;T;N
"Yes";"Ja";B;;T;N
"No";"Nei";B;;T;N
"Email account test mail";"Epostkonto test epost";B;;T;N
"Default Mail Account";"Standard epostkonto";S;;T;N
"Email settings saved";"Epostinnstilling lagret";S;;T;N
"Test mail scheduled, check outbox if it was sent.";"Test epost klargjort for utsendelse, sjekk utboks om den ble sendt.";S;;T;N
"Failed to restart %s row(s)";"Feilet å restarte %s rad(er)";S;;T;N
"%s row(s) successfully restarted";"%s rad(er) ble restartet";S;;T;N
"To recipients";"Til mottakerne";S;;T;N
"Mail subject";"Epostemne";S;;T;N
"Scheduled at";"Planlagt til den";S;;T;N
"Last retry";"Siste prøv på nytt";S;;T;N
"Retry number";"Prøv på nytt nummer";S;;T;N
"Error message";"Feilmelding";S;;T;N
"Account name";"Kontonavn";B;;T;N
"Server Date";"Serverdato";S;;T;N
"Server Time";"Server klokkeslett";S;;T;N
"Mail template not defined in database for class %s";"Mail template ikke definert i database for klasse %s";S;;T;N
"Recipients empty";"Mottakere er tomt";S;;T;N
"Body of mail not specified";"Body av epost er ikke spesifisert";S;;T;N
"From address is empty";"Fra adresse er tomt";S;;T;N
"Failed to init mail headers";"Feilet å init mail headers";S;;T;N
"Email transfer method error";"Epost overføringsmetode feil";S;;T;N
"Application Title";"Post Affiliate Pro";S;;N;N
"Failed to save settings with error %s";"Feilet å lagre innstilling med feil %s";S;;T;N
"Proxy server settings saved.";"Proxy server innstilling lagret.";S;;T;N
"Failed to load proxy server settings.";"Feilet å laste proxy server innstillinger.";S;;T;N
"Pdf saved";"Pdf lagret";S;;T;N
"Path to save file '%s' not exist";"Sti til lagret fil '%s' finnes ikke";S;;T;N
"Path to save file %s is null";"Sti til lagret fil %s er null";S;;T;N
"Unable to create file %s%s.pdf";"Kan ikke opprette fil %s%s.pdf";S;;T;N
"Pdf output: %s";"PDF output: %s";S;;T;N
"Role";"Rolle";B;;T;N
"Logged in";"Logget inn";S;;T;N
"Last Request";"Siste forespørsel";S;;T;N
"entries";"oppføringer";S;;T;N
"SettingsImportExportDescription";"Alle systeminnstillinger";B;;T;N
"Undefined table name";"Udefinert tabellnavn";S;;T;N
"Undefined $option";"Udefinert $option";S;;T;N
"Table alias must by defined";"Tabellalias må være definert";S;;T;N
"equals";"lik";S;;T;N
"not equals";"ikke lik";S;;T;N
"is like";"er lik";S;;T;N
"is not like";"er ikke lik";S;;T;N
"is greater";"er større";S;;T;N
"is lower";"er mindre";S;;T;N
"is greater or equal";"er større eller lik";S;;T;N
"is lower or equal";"er mindre eller lik";S;;T;N
"is";"er";S;;T;N
"is in";"er i";S;;T;N
"Template";"Template";S;;N;N
"Unable to save template '%s'";"Kan ikke lagre template '%s'";S;;T;N
"Template '%s' saved";"Template '%s' lagret";S;;T;N
"Filter does not exist";"Filter finnes ikke";S;;T;N
"Filter saved";"Filter lagret";S;;T;N
"Filter added";"Filter lagt til";S;;T;N
"Field";"Felt";S;;T;N
"Code";"Kode";B;;T;N
"New field";"Nytt felt";S;;T;N
"Can not create field";"Kan ikke opprette felt";S;;T;N
"Failed to delete %s row(s)";"Feilet å slette %s rad(er)";S;merchant;T;N
"%s row(s) successfully deleted";"%s rad(er) slettet";S;merchant;T;N
